doc_id,rouge1,rouge2,rougeL
J05-4003,0.38999999999999996,0.1919191919191919,0.3
J06-3003,0.1641337386018237,0.05504587155963302,0.0851063829787234
J07-2003,0.18181818181818182,0.0293040293040293,0.12363636363636363
J07-3004,0.2574850299401198,0.04216867469879518,0.20359281437125748
J07-4004,0.2862523540489642,0.052930056710775046,0.15819209039548024
J08-1001,0.7087378640776699,0.45098039215686275,0.5436893203883495
J08-1002,0.25165562913907286,0.11333333333333331,0.1456953642384106
J08-2002,0.33980582524271846,0.18627450980392157,0.2621359223300971
J08-4003,0.44651162790697674,0.2850467289719626,0.35348837209302325
J08-4004,0.11612903225806452,0.0,0.11612903225806452
J09-3003,0.23703703703703702,0.044665012406947896,0.16296296296296295
J10-3003,0.30687830687830686,0.06417112299465241,0.1693121693121693
J10-4006,0.2424242424242424,0.05620608899297423,0.14452214452214454
J80-3003,0.23970037453183524,0.08301886792452831,0.21722846441947563
J81-4003,0.16666666666666669,0.0,0.125
J82-3004,0.06346863468634685,0.004434589800443459,0.03247232472324724
J86-3001,0.2507836990595611,0.19558359621451102,0.24451410658307213
J87-1004,0.27634660421545665,0.07058823529411765,0.1920374707259953
J87-1005,0.14545454545454545,0.006097560975609756,0.1212121212121212
J88-1003,0.08290816326530613,0.020421186981493297,0.05994897959183674
J88-2003,0.3737024221453287,0.22996515679442509,0.2698961937716263
J88-2006,0.1957186544342508,0.006153846153846153,0.17125382262996944
J90-1003,0.18750000000000003,0.017937219730941704,0.12053571428571427
J90-1004,0.17624521072796934,0.023166023166023165,0.14559386973180077
J90-2002,0.16346153846153846,0.05825242718446601,0.14423076923076922
J91-1002,0.013071895424836602,0.0,0.013071895424836602
J91-1003,0.43946188340807174,0.17194570135746606,0.30493273542600896
J91-4003,0.32345013477088946,0.0813008130081301,0.2533692722371968
J92-1001,0.6196078431372548,0.3952569169960474,0.5176470588235293
J92-1004,0.5245901639344263,0.3884297520661157,0.4918032786885247
J92-4003,0.368421052631579,0.16666666666666666,0.29323308270676696
J92-4007,0.0,0.0,0.0
J93-1002,0.15258408531583262,0.02465078060805259,0.08039376538146022
